19356,1001,4380
19356,1001,3538
19356,1001,2678
19356,1001,4440
19356,1001,1777
19356,1001,5667
19356,1001,2599
19356,1001,9182
19356,1001,8996
9043,1002,9276
9043,1002,1402
9043,1002,7382
9043,1002,594
9043,1002,2636
9043,1002,6816
9043,1002,7872
9043,1002,8425
403,1003,5819
403,1003,5462
403,1003,2676
403,1003,753
403,1003,8979
16509,1004,9171
16509,1004,769
16509,1004,6597
16509,1004,4738
16509,1004,9576
16509,1004,2906
16509,1004,4920
10292,1005,7971
10292,1005,9020
10292,1005,8072
10292,1005,8465
8489,1006,1426
8489,1006,6997
7186,1007,7006
7186,1007,1585
7186,1007,3173
7186,1007,2607
7186,1007,1651
7186,1007,5394
7186,1007,4376
7186,1007,268
7186,1007,4186
17328,1008,711
17328,1008,9275
17328,1008,6596
17328,1008,1300
17328,1008,2490
8149,1009,579
4458,1010,1851
4458,1010,1719
4458,1010,8405
4458,1010,851
4458,1010,4568
4458,1010,2702
4458,1010,8229
9649,1011,7017
9649,1011,2589
9649,1011,2054
9649,1011,4919
13660,1012,4136
13660,1012,9165
13660,1012,8830
19359,1013,3507
19359,1013,1605
19359,1013,147
19359,1013,6560
19359,1013,8873
19359,1013,3616
11339,1014,8302
11339,1014,9706
11339,1014,7096
12519,1015,3828
12519,1015,8383
12519,1015,7780
12519,1015,7467
12519,1015,3624
12519,1015,3973
12519,1015,3250
12519,1015,3760
3433,1016,4592
3433,1016,458
3433,1016,4000
3433,1016,8139
3433,1016,3813
3433,1016,2577
1918,1017,2848
1918,1017,6450
1918,1017,2017
1918,1017,6655
1918,1017,3268
1918,1017,2133
1918,1017,2130
13443,1018,1019
13443,1018,2154
13443,1018,3377
13443,1018,6991
13443,1018,3605
1083,1019,4944
1083,1019,6230
1083,1019,216
1083,1019,2227
1083,1019,3297
1083,1019,1056
1083,1019,9026
1083,1019,2148
1083,1019,9799
3904,1020,7918
3904,1020,3362
3904,1020,5591
3904,1020,2064
3904,1020,31
3904,1020,8726
3904,1020,3968
12389,1021,553
12389,1021,7866
12389,1021,8678
16953,1022,429
16953,1022,5550
16953,1022,4818
16953,1022,9868
16953,1022,9183
16953,1022,9341
16953,1022,8939
16953,1022,5473
9231,1023,7055
9231,1023,2909
9231,1023,9232
9231,1023,4935
9231,1023,63
9231,1023,1480
9231,1023,3619
9231,1023,8836
9231,1023,5939
10243,1024,4335
10243,1024,6250
10243,1024,2479
10243,1024,4423
10243,1024,2687
10243,1024,1232
10243,1024,6398
10243,1024,7181
14487,1025,7734
14487,1025,2310
14487,1025,1503
14487,1025,5273
14487,1025,3371
15410,1026,7512
15410,1026,8037
15410,1026,9538
15410,1026,3411
15410,1026,6318
6997,1027,742
6997,1027,316
6997,1027,3654
6997,1027,5044
6997,1027,875
8489,1028,1949
8489,1028,8813
8489,1028,9660
8489,1028,1394
9608,1029,4612
9608,1029,7387
9608,1029,6234
9608,1029,6340
19986,1030,5150
19986,1030,1961
16366,1031,9885
16366,1031,5703
16366,1031,345
16366,1031,8742
16366,1031,1900
16366,1031,1804
18380,1032,7318
18380,1032,2689
18380,1032,8596
18380,1032,5565
18380,1032,1913
18380,1032,4397
18161,1033,2577
18161,1033,5137
18161,1033,5246
18161,1033,837
18161,1033,2585
18161,1033,3657
11841,1034,4524
11841,1034,3066
11841,1034,3182
11841,1034,6865
11841,1034,6155
11841,1034,1299
11841,1034,342
11841,1034,7455
11841,1034,1896
14282,1035,4286
14282,1035,9314
14282,1035,1543
14282,1035,3863
14282,1035,290
14282,1035,1491
14282,1035,1505
16738,1036,9630
16738,1036,2
16738,1036,4811
16738,1036,2889
16738,1036,46
16738,1036,3848
16738,1036,5401
16738,1036,5565
14214,1037,7279
14214,1037,8324
14214,1037,9503
14214,1037,3442
14214,1037,8197
14214,1037,9627
14214,1037,4272
14214,1037,7797
14214,1037,7083
14256,1038,3641
14256,1038,7769
14256,1038,9527
14256,1038,6312
14256,1038,3782
14256,1038,1532
14256,1038,2360
14256,1038,1933
14256,1038,2522
4296,1039,1775
4296,1039,2363
4296,1039,6437
11696,1040,660
11696,1040,8830
11696,1040,9400
11696,1040,5570
11696,1040,8731
11696,1040,5286
11696,1040,8135
11696,1040,6891
11696,1040,7347
10604,1041,1054
10604,1041,3436
10604,1041,9691
10604,1041,3338
10604,1041,9046
15751,1042,3016
15751,1042,5613
15751,1042,6852
9973,1043,5643
9973,1043,5625
9973,1043,764
9973,1043,3026
9973,1043,6343
9973,1043,9308
9973,1043,5882
9973,1043,3511
9973,1043,6643
1648,1044,575
1648,1044,7565
1648,1044,5486
1648,1044,2413
1648,1044,127
1648,1044,9064
19654,1045,1645
19654,1045,5989
19654,1045,2930
19654,1045,3598
19654,1045,6798
19654,1045,2983
19654,1045,1064
19654,1045,5419
19654,1045,6546
4062,1046,5632
4062,1046,9534
12070,1047,5562
12070,1047,6711
12070,1047,7119
12070,1047,3420
12070,1047,6080
12070,1047,955
12070,1047,9818
12070,1047,1020
