2001,2013/03/04,931,31.84,2.63,34.47
2002,2013/03/22,14397,357.33,29.48,386.81
2003,2013/03/13,409,172.38,14.22,186.60
2004,2013/03/19,14315,284.06,23.43,307.49
2005,2013/03/14,14589,245.50,20.25,265.75
2006,2013/03/14,18473,33.00,2.72,35.72
2007,2013/03/08,6276,100.79,8.32,109.11
2008,2013/03/26,4374,195.86,16.16,212.02
2009,2013/03/24,11524,110.27,9.10,119.37
2010,2013/03/23,18666,219.16,18.08,237.24
2011,2013/03/13,6593,123.18,10.16,133.34
2012,2013/03/25,7303,364.29,30.05,394.34
2013,2013/03/18,44,320.84,26.47,347.31
2014,2013/03/27,9794,317.35,26.18,343.53
2015,2013/03/04,3441,389.04,32.10,421.14
2016,2013/03/29,11992,383.52,31.64,415.16
2017,2013/03/26,12442,236.78,19.53,256.31
2018,2013/03/30,7915,74.24,6.12,80.36
2019,2013/03/29,4866,294.87,24.33,319.20
2020,2013/03/18,6952,323.59,26.70,350.29
2021,2013/03/24,1305,382.62,31.57,414.19
2022,2013/03/01,4515,205.99,16.99,222.98
2023,2013/03/11,10607,99.83,8.24,108.07
2024,2013/03/03,13577,216.11,17.83,233.94
2025,2013/03/26,1231,330.67,27.28,357.95
2026,2013/03/23,14151,358.60,29.58,388.18
2027,2013/03/13,10651,28.38,2.34,30.72
2028,2013/03/28,17019,391.48,32.30,423.78
2029,2013/03/19,5353,53.33,4.40,57.73
2030,2013/03/27,10607,30.48,2.51,32.99
2031,2013/03/30,1697,294.98,24.34,319.32
2032,2013/03/03,8142,36.75,3.03,39.78
2033,2013/03/18,5663,276.05,22.77,298.82
2034,2013/03/08,9524,331.69,27.36,359.05
2035,2013/03/29,10390,329.20,27.16,356.36
2036,2013/03/13,15275,363.91,30.02,393.93
2037,2013/03/23,12836,248.69,20.52,269.21
2038,2013/03/24,18086,347.64,28.68,376.32
2039,2013/03/31,15297,98.09,8.09,106.18
2040,2013/03/16,1115,262.80,21.68,284.48
2041,2013/03/04,16859,386.93,31.92,418.85
2042,2013/03/29,17339,344.73,28.44,373.17
2043,2013/03/15,478,271.20,22.37,293.57
2044,2013/03/11,14918,371.54,30.65,402.19
