1,14,ACADEMY ACADEMY,PENELOPE GUINESS,25.99,0,1976,1
2,13,ACADEMY ACE,KEVIN DOUGLAS,19.99,0,3648,2
3,16,ACADEMY ADAPTATION,MAE VOIGHT,24.99,0,6070,0
4,4,ACADEMY AFFAIR,RENEE CAINE,12.99,0,1298,0
5,16,ACADEMY AFRICAN,JUDY DAY,26.99,0,2961,2
6,9,ACADEMY AGENT,WILL JACKMAN,15.99,0,5268,3
7,7,ACADEMY AIRPLANE,FARRAH TOMEI,16.99,0,9191,0
8,16,ACADEMY AIRPORT,BETTE KELLY,13.99,0,8903,1
9,2,ACADEMY ALABAMA,JEREMY ASTAIRE,10.99,0,9707,3
10,14,ACADEMY ALADDIN,KATE DICAPRIO,16.99,0,5126,2
11,9,ACADEMY ALAMO,JANE BALE,28.99,0,7210,1
12,12,ACADEMY ALASKA,GRETA MCQUEEN,23.99,0,4402,3
13,14,ACADEMY ALI,DORIS FONDA,27.99,0,6867,3
14,10,ACADEMY ALICE,SALLY MOORE,18.99,0,3985,3
15,11,ACADEMY ALIEN,JOE TYLER,13.99,0,9202,0
16,15,ACADEMY ALLEY,JAMES MINELLI,22.99,0,7861,1
17,8,ACADEMY ALONE,CUBA DEAN,14.99,0,4166,0
18,15,ACADEMY ALTER,CARRIE BOLGER,19.99,0,9848,3
19,11,ACADEMY AMADEUS,NICOLE GOODING,16.99,0,2323,2
20,4,ACADEMY AMELIE,NEVE CHAPLIN,11.99,0,1642,2
21,2,ACADEMY AMERICAN,ANJELICA WEST,19.99,0,2401,3
22,12,ACADEMY AMISTAD,WHOOPI MOORE,22.99,0,935,0
23,9,ACADEMY ANACONDA,ANTHONY BERRY,13.99,0,8197,2
24,13,ACADEMY ANALYZE,CHEVY BASINGER,29.99,0,8900,0
25,16,ACADEMY ANGELS,SCARLETT BASINGER,10.99,0,9231,2
26,3,ACADEMY ANNIE,HILARY CLOSE,28.99,0,3591,2
27,10,ACADEMY ANONYMOUS,MENA HOPKINS,11.99,0,7573,1
28,16,ACADEMY ANTHEM,SEAN LOLLOBRIGIDA,24.99,0,355,2
29,14,ACADEMY ANTITRUST,SCARLETT WALKEN,26.99,0,7439,3
30,16,ACADEMY ANYTHING,JON NEESON,12.99,0,8890,0
31,11,ACADEMY APACHE,LUCILLE DENIRO,13.99,0,3169,1
32,4,ACADEMY APOCALYPSE,MADELINE BERGMAN,13.99,0,5107,3
33,5,ACADEMY APOLLO,MIRA KUDROW,11.99,0,5926,3
34,8,ACADEMY ARABIA,RUBY FORD,18.99,0,3450,2
35,14,ACADEMY ARACHNOPHOBIA,MEG DEE,19.99,0,3050,2
36,3,ACADEMY ARGONAUTS,ANGELA MCDORMAND,17.99,0,6740,2
37,6,ACADEMY ARIZONA,LIAM CRONYN,22.99,0,3284,2
38,4,ACADEMY ARK,MEL WAHLBERG,22.99,0,5325,0
